x_km,y_km,month,wind_ms
16,2,1,8.58
17,2,1,8.11
18,2,1,7.56
19,2,1,9.05
20,2,1,8.17
21,2,1,9.0
22,2,1,8.64
23,2,1,8.94
24,2,1,8.47
25,2,1,7.32
26,2,1,8.9
27,2,1,6.89
28,2,1,8.27
29,2,1,7.56
30,2,1,7.02
31,2,1,7.87
32,2,1,8.6
33,2,1,7.26
34,2,1,7.36
35,2,1,9.02
36,2,1,8.25
37,2,1,8.25
38,2,1,8.6
39,2,1,7.52
40,2,1,8.22
41,2,1,7.08
42,2,1,8.59
43,2,1,6.52
44,2,1,6.94
45,2,1,8.51
46,2,1,7.19
47,2,1,8.03
48,2,1,7.49
49,2,1,8.25
50,2,1,7.12
51,2,1,8.05
52,2,1,8.57
53,2,1,8.15
54,2,1,8.29
55,2,1,7.3
56,2,1,6.41
57,2,1,6.78
58,2,1,6.73
59,2,1,8.1
60,2,1,8.29
61,2,1,8.51
62,2,1,6.49
63,2,1,6.58
64,2,1,8.6
65,2,1,7.38
66,2,1,8.56
67,2,1,6.41
68,2,1,7.39
69,2,1,7.82
70,2,1,7.84
71,2,1,8.27
72,2,1,7.0
73,2,1,7.37
74,2,1,7.35
75,2,1,7.13
76,2,1,8.68
77,2,1,7.59
78,2,1,7.07
79,2,1,8.46
80,2,1,8.06
81,2,1,5.8
82,2,1,6.78
83,2,1,7.46
84,2,1,6.88
85,2,1,8.06
86,2,1,8.9
87,2,1,9.08
88,2,1,7.67
89,2,1,7.87
90,2,1,8.26
91,2,1,5.79
92,2,1,7.53
93,2,1,7.24
94,2,1,5.66
95,2,1,6.61
96,2,1,8.21
97,2,1,6.77
98,2,1,7.75
99,2,1,7.84
0,3,1,8.31
1,3,1,6.9
2,3,1,6.42
3,3,1,7.43
4,3,1,9.44
5,3,1,7.85
6,3,1,7.98
7,3,1,6.72
8,3,1,7.68
9,3,1,8.88
10,3,1,7.95
11,3,1,8.56
12,3,1,7.29
13,3,1,8.27
14,3,1,8.68
15,3,1,8.43
16,3,1,9.08
17,3,1,8.12
18,3,1,7.99
19,3,1,8.21
20,3,1,7.87
21,3,1,8.48
22,3,1,8.03
23,3,1,7.69
24,3,1,8.31
25,3,1,9.05
26,3,1,8.13
27,3,1,7.12
28,3,1,8.14
29,3,1,8.08
30,3,1,9.83
31,3,1,6.28
32,3,1,7.79
33,3,1,6.45
34,3,1,8.3
35,3,1,9.77
36,3,1,7.93
37,3,1,7.32
38,3,1,8.32
39,3,1,8.03
40,3,1,8.22
41,3,1,8.67
42,3,1,9.35
43,3,1,7.64
44,3,1,9.93
45,3,1,8.86
46,3,1,7.66
47,3,1,7.82
48,3,1,7.7
49,3,1,10.02
50,3,1,7.19
51,3,1,7.32
52,3,1,8.39
53,3,1,7.48
54,3,1,8.12
55,3,1,7.21
56,3,1,7.87
57,3,1,8.84
58,3,1,7.15
59,3,1,8.47
60,3,1,6.58
61,3,1,6.71
62,3,1,7.34
63,3,1,6.72
64,3,1,8.1
65,3,1,7.79
66,3,1,8.44
67,3,1,6.47
68,3,1,7.24
69,3,1,7.59
70,3,1,8.07
71,3,1,6.51
72,3,1,7.8
73,3,1,7.32
74,3,1,6.86
75,3,1,7.14
76,3,1,7.45
77,3,1,7.09
78,3,1,6.1
79,3,1,6.75
80,3,1,6.05
81,3,1,6.21
82,3,1,7.9
83,3,1,6.47
84,3,1,6.49
85,3,1,7.75
86,3,1,8.67
87,3,1,7.19
88,3,1,7.54
89,3,1,7.08
90,3,1,6.83
91,3,1,7.6
92,3,1,6.65
93,3,1,8.31
94,3,1,7.74
95,3,1,7.63
96,3,1,6.69
97,3,1,8.06
98,3,1,8.86
99,3,1,7.69
0,4,1,8.76
1,4,1,8.61
2,4,1,7.46
3,4,1,7.36
4,4,1,6.84
5,4,1,8.27
6,4,1,7.44
7,4,1,9.66
8,4,1,9.63
9,4,1,8.66
10,4,1,9.21
11,4,1,7.95
12,4,1,9.47
13,4,1,8.13
14,4,1,9.52
15,4,1,8.26
16,4,1,9.07
17,4,1,8.34
18,4,1,7.82
19,4,1,8.8
20,4,1,8.77
21,4,1,9.64
22,4,1,7.62
23,4,1,9.2
24,4,1,7.87
25,4,1,8.03
26,4,1,9.01
27,4,1,8.58
28,4,1,10.5
29,4,1,9.21
30,4,1,6.43
31,4,1,8.43
32,4,1,9.1
33,4,1,10.75
34,4,1,8.54
35,4,1,8.32
36,4,1,8.92
37,4,1,7.74
38,4,1,8.39
39,4,1,7.63
40,4,1,7.31
41,4,1,7.55
42,4,1,7.98
43,4,1,8.53
44,4,1,8.12
45,4,1,8.96
46,4,1,6.59
47,4,1,8.4
48,4,1,9.28
49,4,1,7.6
50,4,1,7.32
51,4,1,7.76
52,4,1,8.27
53,4,1,8.22
54,4,1,6.39
55,4,1,7.22
56,4,1,9.28
57,4,1,6.86
58,4,1,6.9
59,4,1,7.62
60,4,1,9.34
61,4,1,8.6
62,4,1,7.04
63,4,1,6.7
64,4,1,7.31
65,4,1,5.82
66,4,1,7.73
67,4,1,7.3
68,4,1,7.18
69,4,1,8.36
70,4,1,7.22
71,4,1,7.12
72,4,1,6.01
73,4,1,7.2
74,4,1,7.99
75,4,1,8.63
76,4,1,6.4
77,4,1,7.17
78,4,1,6.93
79,4,1,6.59
80,4,1,6.95
81,4,1,6.47
82,4,1,7.06
83,4,1,7.27
84,4,1,7.58
85,4,1,6.14
86,4,1,7.13
87,4,1,7.35
88,4,1,6.44
89,4,1,6.94
90,4,1,5.72
91,4,1,5.82
92,4,1,5.79
93,4,1,7.52
94,4,1,6.32
95,4,1,7.02
96,4,1,6.52
97,4,1,8.86
98,4,1,7.43
99,4,1,8.14
0,5,1,8.6
1,5,1,8.68
2,5,1,7.05
3,5,1,6.86
4,5,1,7.68
5,5,1,7.94
6,5,1,8.26
7,5,1,7.89
8,5,1,7.7
9,5,1,9.01
10,5,1,8.49
11,5,1,9.01
12,5,1,8.49
13,5,1,7.87
14,5,1,8.64
15,5,1,8.21
16,5,1,7.52
17,5,1,10.06
18,5,1,8.26
19,5,1,8.4
20,5,1,9.33
21,5,1,8.23
22,5,1,6.88
23,5,1,8.52
24,5,1,7.87
25,5,1,9.82
26,5,1,10.49
27,5,1,11.08
28,5,1,8.65
29,5,1,8.28
30,5,1,9.73
31,5,1,6.56
32,5,1,9.03
33,5,1,7.39
34,5,1,8.87
35,5,1,8.03
36,5,1,9.49
37,5,1,8.37
38,5,1,7.88
39,5,1,9.94
40,5,1,6.68
41,5,1,7.06
42,5,1,9.05
43,5,1,8.23
44,5,1,6.98
45,5,1,8.09
46,5,1,9.81
47,5,1,8.08
48,5,1,7.19
49,5,1,10.08
50,5,1,7.84
51,5,1,8.45
52,5,1,7.52
53,5,1,8.21
54,5,1,7.39
55,5,1,9.86
56,5,1,7.15
57,5,1,8.36
58,5,1,8.3
59,5,1,8.09
60,5,1,8.54
61,5,1,9.09
62,5,1,6.73
63,5,1,7.38
64,5,1,6.95
65,5,1,7.76
66,5,1,8.43
67,5,1,7.01
68,5,1,7.21
69,5,1,7.16
70,5,1,7.88
71,5,1,6.86
72,5,1,7.78
73,5,1,5.63
74,5,1,6.85
75,5,1,7.97
76,5,1,9.21
77,5,1,6.24
78,5,1,9.03
79,5,1,7.26
80,5,1,7.25
81,5,1,8.21
82,5,1,6.97
83,5,1,6.01
84,5,1,7.55
85,5,1,7.17
86,5,1,7.61
87,5,1,6.83
88,5,1,6.64
89,5,1,6.59
90,5,1,5.88
91,5,1,9.78
92,5,1,8.24
93,5,1,8.52
94,5,1,6.79
95,5,1,6.4
96,5,1,6.69
97,5,1,7.34
98,5,1,7.22
99,5,1,7.35
0,6,1,8.3
1,6,1,8.08
2,6,1,8.17
3,6,1,8.45
4,6,1,8.45
5,6,1,7.53
6,6,1,8.19
7,6,1,8.07
8,6,1,8.59
9,6,1,6.31
10,6,1,10.51
11,6,1,8.89
12,6,1,6.82
13,6,1,9.02
14,6,1,8.43
15,6,1,6.94
16,6,1,8.7
17,6,1,8.98
18,6,1,8.64
19,6,1,9.22
20,6,1,8.42
21,6,1,9.6
22,6,1,7.79
23,6,1,7.92
24,6,1,8.19
25,6,1,9.12
26,6,1,8.59
27,6,1,10.56
28,6,1,9.32
29,6,1,9.07
30,6,1,8.4
31,6,1,8.52
32,6,1,9.33
33,6,1,8.55
34,6,1,7.83
35,6,1,7.53
36,6,1,8.77
37,6,1,8.58
38,6,1,8.94
39,6,1,9.58
40,6,1,8.15
41,6,1,7.94
42,6,1,9.39
43,6,1,7.64
44,6,1,8.16
45,6,1,8.34
46,6,1,10.41
47,6,1,7.36
48,6,1,7.4
49,6,1,8.1
50,6,1,7.34
51,6,1,9.7
52,6,1,9.67
53,6,1,6.53
54,6,1,6.43
55,6,1,8.47
56,6,1,8.08
57,6,1,9.95
58,6,1,6.84
59,6,1,8.22
60,6,1,9.23
61,6,1,8.31
62,6,1,6.5
63,6,1,7.65
64,6,1,5.83
65,6,1,7.41
66,6,1,6.19
67,6,1,7.34
68,6,1,7.06
69,6,1,7.75
70,6,1,7.67
71,6,1,6.8
72,6,1,7.15
73,6,1,7.6
74,6,1,8.01
75,6,1,7.21
76,6,1,6.64
77,6,1,8.21
78,6,1,6.83
79,6,1,5.15
80,6,1,7.14
81,6,1,7.21
82,6,1,6.32
83,6,1,5.93
84,6,1,6.54
85,6,1,9.21
86,6,1,7.73
87,6,1,5.46
88,6,1,6.58
89,6,1,7.11
90,6,1,8.03
91,6,1,8.47
92,6,1,8.54
93,6,1,8.09
94,6,1,6.5
95,6,1,8.34
96,6,1,6.46
97,6,1,7.77
98,6,1,7.47
99,6,1,6.83
0,7,1,6.11
1,7,1,6.81
2,7,1,7.19
3,7,1,8.36
4,7,1,7.98
5,7,1,9.12
6,7,1,6.68
7,7,1,7.0
8,7,1,8.21
9,7,1,9.32
10,7,1,8.33
11,7,1,8.04
12,7,1,8.32
13,7,1,9.05
14,7,1,8.52
15,7,1,7.96
16,7,1,8.29
17,7,1,8.22
18,7,1,9.44
19,7,1,9.05
20,7,1,8.86
21,7,1,8.51
22,7,1,7.57
23,7,1,8.0
24,7,1,9.07
25,7,1,9.44
26,7,1,7.84
27,7,1,8.71
28,7,1,8.44
29,7,1,9.66
30,7,1,9.25
31,7,1,7.54
32,7,1,9.35
33,7,1,7.21
34,7,1,8.94
35,7,1,8.12
36,7,1,8.44
37,7,1,7.79
38,7,1,6.71
39,7,1,7.75
40,7,1,9.57
41,7,1,6.79
42,7,1,7.89
43,7,1,7.64
44,7,1,7.67
45,7,1,8.4
46,7,1,6.71
47,7,1,9.15
48,7,1,8.67
49,7,1,8.81
50,7,1,7.59
51,7,1,7.79
52,7,1,8.14
53,7,1,7.18
54,7,1,6.6
55,7,1,8.39
56,7,1,4.66
57,7,1,7.08
58,7,1,7.56
59,7,1,7.92
60,7,1,7.36
61,7,1,7.26
62,7,1,7.15
63,7,1,5.88
64,7,1,10.06
65,7,1,8.26
66,7,1,8.06
67,7,1,7.03
68,7,1,6.29
69,7,1,8.44
70,7,1,7.16
71,7,1,6.41
72,7,1,6.35
73,7,1,6.71
74,7,1,8.77
75,7,1,6.79
76,7,1,7.18
77,7,1,7.38
78,7,1,7.47
79,7,1,8.04
80,7,1,8.07
81,7,1,7.5
82,7,1,6.44
83,7,1,6.61
84,7,1,5.91
85,7,1,6.17
86,7,1,6.79
87,7,1,7.97
88,7,1,6.99
89,7,1,4.14
90,7,1,8.39
91,7,1,5.97
92,7,1,5.84
93,7,1,7.95
94,7,1,6.91
95,7,1,7.42
96,7,1,8.09
97,7,1,7.32
98,7,1,8.2
99,7,1,7.54
0,8,1,7.67
1,8,1,8.0
2,8,1,6.98
3,8,1,5.42
4,8,1,8.46
5,8,1,7.76
6,8,1,6.96
7,8,1,7.7
8,8,1,7.16
9,8,1,7.99
10,8,1,8.0
11,8,1,5.57
12,8,1,7.69
13,8,1,7.64
14,8,1,10.22
15,8,1,8.02
16,8,1,9.14
17,8,1,10.01
18,8,1,8.86
19,8,1,8.8
20,8,1,9.61
21,8,1,8.01
22,8,1,8.07
23,8,1,9.29
24,8,1,7.67
25,8,1,8.07
26,8,1,8.17
27,8,1,8.55
28,8,1,7.94
29,8,1,8.71
30,8,1,10.23
31,8,1,9.83
32,8,1,8.15
33,8,1,8.1
34,8,1,7.4
35,8,1,8.94
36,8,1,8.33
37,8,1,6.66
38,8,1,6.5
39,8,1,8.63
40,8,1,7.74
41,8,1,8.56
42,8,1,8.33
43,8,1,9.13
44,8,1,8.0
45,8,1,6.9
46,8,1,8.24
47,8,1,8.86
48,8,1,7.79
49,8,1,5.91
50,8,1,8.13
51,8,1,7.45
52,8,1,7.21
53,8,1,10.22
54,8,1,8.15
55,8,1,7.95
56,8,1,8.75
57,8,1,8.23
58,8,1,6.94
59,8,1,7.6
60,8,1,8.33
61,8,1,6.91
62,8,1,8.99
63,8,1,7.23
64,8,1,7.14
65,8,1,9.28
66,8,1,8.45
67,8,1,7.02
68,8,1,7.19
69,8,1,7.3
70,8,1,7.68
71,8,1,6.62
72,8,1,7.81
73,8,1,7.54
74,8,1,6.97
75,8,1,9.18
76,8,1,6.86
77,8,1,5.88
78,8,1,8.47
79,8,1,6.76
80,8,1,6.98
81,8,1,7.95
82,8,1,8.57
83,8,1,7.8
84,8,1,8.64
85,8,1,7.27
86,8,1,8.29
87,8,1,8.33
88,8,1,8.42
89,8,1,8.33
90,8,1,9.14
91,8,1,8.27
92,8,1,7.83
93,8,1,7.77
94,8,1,6.35
95,8,1,6.46
96,8,1,6.98
97,8,1,7.72
98,8,1,7.63
99,8,1,9.01
0,9,1,8.0
1,9,1,6.71
2,9,1,7.5
3,9,1,7.97
4,9,1,7.9
5,9,1,5.41
6,9,1,7.74
7,9,1,8.66
8,9,1,8.66
9,9,1,9.18
10,9,1,6.99
11,9,1,9.83
12,9,1,9.24
13,9,1,9.34
14,9,1,8.52
15,9,1,7.27
16,9,1,9.24
17,9,1,10.21
18,9,1,10.97
19,9,1,9.98
20,9,1,10.32
21,9,1,9.43
22,9,1,8.58
23,9,1,7.91
24,9,1,6.84
25,9,1,8.36
26,9,1,7.76
27,9,1,8.07
28,9,1,7.23
29,9,1,6.61
30,9,1,9.78
31,9,1,7.9
32,9,1,9.68
33,9,1,8.44
34,9,1,7.97
35,9,1,6.38
36,9,1,7.58
37,9,1,9.62
38,9,1,8.5
39,9,1,10.09
40,9,1,6.97
41,9,1,7.25
42,9,1,8.2
43,9,1,9.83
44,9,1,7.82
45,9,1,7.92
46,9,1,7.44
47,9,1,8.53
48,9,1,8.08
49,9,1,7.51
50,9,1,8.45
51,9,1,9.1
52,9,1,8.08
53,9,1,8.94
54,9,1,8.69
55,9,1,8.65
56,9,1,7.84
57,9,1,7.71
58,9,1,7.65
59,9,1,7.77
60,9,1,8.01
61,9,1,9.06
62,9,1,8.0
63,9,1,8.06
64,9,1,7.98
65,9,1,10.36
66,9,1,6.7
67,9,1,8.52
68,9,1,9.47
69,9,1,8.65
70,9,1,7.14
71,9,1,8.07
72,9,1,7.56
73,9,1,7.53
74,9,1,7.02
75,9,1,9.3
76,9,1,8.55
77,9,1,7.01
78,9,1,7.84
79,9,1,7.17
80,9,1,6.42
81,9,1,7.36
82,9,1,9.0
83,9,1,6.65
84,9,1,7.98
85,9,1,7.99
86,9,1,6.8
87,9,1,6.19
88,9,1,7.21
89,9,1,7.55
90,9,1,7.33
91,9,1,7.8
92,9,1,6.75
93,9,1,7.77
94,9,1,6.51
95,9,1,7.25
96,9,1,7.32
97,9,1,6.95
98,9,1,7.07
99,9,1,7.85
0,10,1,8.17
1,10,1,6.62
2,10,1,8.4
3,10,1,7.19
4,10,1,7.68
5,10,1,9.74
6,10,1,8.34
7,10,1,8.62
8,10,1,6.96
9,10,1,8.81
10,10,1,8.55
11,10,1,7.46
12,10,1,8.36
13,10,1,7.47
14,10,1,8.86
15,10,1,6.69
16,10,1,8.14
17,10,1,8.33
18,10,1,7.23
19,10,1,9.94
20,10,1,8.35
21,10,1,9.79
22,10,1,8.24
23,10,1,7.51
24,10,1,9.2
25,10,1,9.44
26,10,1,8.37
27,10,1,8.23
28,10,1,7.4
29,10,1,8.41
30,10,1,8.66
31,10,1,9.03
32,10,1,8.77
33,10,1,7.35
34,10,1,7.93
35,10,1,8.75
36,10,1,9.88
37,10,1,8.76
38,10,1,7.5
39,10,1,7.92
40,10,1,9.13
41,10,1,8.03
42,10,1,10.21
43,10,1,7.83
44,10,1,8.74
45,10,1,8.48
46,10,1,8.92
47,10,1,8.64
48,10,1,8.09
49,10,1,7.79
50,10,1,8.38
51,10,1,9.17
52,10,1,8.41
53,10,1,7.6
54,10,1,8.02
55,10,1,8.34
56,10,1,9.04
57,10,1,6.72
58,10,1,7.61
59,10,1,7.29
60,10,1,8.6
61,10,1,7.22
62,10,1,9.0
63,10,1,7.86
64,10,1,8.15
65,10,1,7.16
66,10,1,8.28
67,10,1,6.78
68,10,1,7.75
69,10,1,8.09
70,10,1,7.77
71,10,1,8.85
72,10,1,6.74
73,10,1,8.38
74,10,1,7.0
75,10,1,7.04
76,10,1,7.54
77,10,1,6.07
78,10,1,6.35
79,10,1,7.29
80,10,1,6.63
81,10,1,6.77
82,10,1,7.74
83,10,1,6.85
84,10,1,7.43
85,10,1,8.0
86,10,1,8.74
87,10,1,6.62
88,10,1,7.83
89,10,1,7.6
90,10,1,6.36
91,10,1,8.79
92,10,1,7.15
93,10,1,7.7
94,10,1,7.28
95,10,1,8.04
96,10,1,7.96
97,10,1,6.72
98,10,1,8.74
99,10,1,5.93
0,11,1,10.22
1,11,1,8.1
2,11,1,7.15
3,11,1,5.08
4,11,1,7.44
5,11,1,9.05
6,11,1,9.76
7,11,1,7.55
8,11,1,7.06
9,11,1,6.97
10,11,1,8.45
11,11,1,9.22
12,11,1,8.06
13,11,1,8.89
14,11,1,9.33
15,11,1,8.34
16,11,1,7.64
17,11,1,7.88
18,11,1,9.52
19,11,1,8.66
20,11,1,7.56
21,11,1,8.0
22,11,1,7.57
23,11,1,8.96
24,11,1,10.35
25,11,1,8.08
26,11,1,9.25
27,11,1,8.91
28,11,1,9.16
29,11,1,7.1
30,11,1,7.82
31,11,1,6.26
32,11,1,8.3
33,11,1,9.13
34,11,1,8.51
35,11,1,7.86
36,11,1,9.16
37,11,1,9.63
38,11,1,8.9
39,11,1,8.08
40,11,1,6.4
41,11,1,8.46
42,11,1,7.57
43,11,1,9.57
44,11,1,7.65
45,11,1,8.71
46,11,1,8.4
47,11,1,8.7
48,11,1,7.39
49,11,1,7.64
50,11,1,7.59
51,11,1,7.51
52,11,1,8.7
53,11,1,8.07
54,11,1,9.24
55,11,1,8.33
56,11,1,8.6
57,11,1,7.56
58,11,1,7.47
59,11,1,6.87
60,11,1,7.02
61,11,1,7.81
62,11,1,7.2
63,11,1,7.59
64,11,1,8.39
65,11,1,8.93
66,11,1,7.34
67,11,1,9.79
68,11,1,7.21
69,11,1,8.39
70,11,1,8.52
71,11,1,8.19
72,11,1,8.06
73,11,1,8.62
74,11,1,7.77
75,11,1,7.94
76,11,1,8.25
77,11,1,5.9
78,11,1,9.81
79,11,1,8.9
80,11,1,7.27
81,11,1,7.17
82,11,1,7.12
83,11,1,7.5
84,11,1,7.23
85,11,1,6.13
86,11,1,6.61
87,11,1,7.41
88,11,1,7.14
89,11,1,7.19
90,11,1,6.85
91,11,1,6.88
92,11,1,6.84
93,11,1,7.82
94,11,1,6.96
95,11,1,5.66
96,11,1,8.29
97,11,1,7.07
98,11,1,5.96
99,11,1,6.75
0,12,1,8.44
1,12,1,6.25
2,12,1,9.62
3,12,1,7.33
4,12,1,8.04
5,12,1,8.12
6,12,1,9.33
7,12,1,8.52
8,12,1,7.23
9,12,1,7.44
10,12,1,7.88
11,12,1,7.23
12,12,1,9.03
13,12,1,8.66
14,12,1,8.67
15,12,1,8.2
16,12,1,8.63
17,12,1,10.01
18,12,1,10.95
19,12,1,6.4
20,12,1,9.17
21,12,1,9.05
22,12,1,7.53
23,12,1,6.36
24,12,1,9.34
25,12,1,8.28
26,12,1,7.29
27,12,1,8.31
28,12,1,8.67
29,12,1,9.85
30,12,1,8.01
31,12,1,9.83
32,12,1,6.85
33,12,1,7.66
34,12,1,9.29
35,12,1,8.37
36,12,1,9.3
37,12,1,8.71
38,12,1,8.19
39,12,1,9.37
40,12,1,6.17
41,12,1,7.88
42,12,1,8.31
43,12,1,7.14
44,12,1,6.56
45,12,1,8.37
46,12,1,10.0
47,12,1,7.72
48,12,1,8.32
49,12,1,8.07
50,12,1,8.36
51,12,1,7.73
52,12,1,8.39
53,12,1,6.87
54,12,1,7.39
55,12,1,8.34
56,12,1,9.67
57,12,1,6.72
58,12,1,8.85
59,12,1,6.03
60,12,1,8.16
61,12,1,8.01
62,12,1,7.83
63,12,1,7.27
64,12,1,7.6
65,12,1,8.64
66,12,1,8.48
67,12,1,6.61
68,12,1,7.99
69,12,1,7.11
70,12,1,6.12
71,12,1,9.97
72,12,1,7.46
73,12,1,7.64
74,12,1,8.51
75,12,1,8.16
76,12,1,7.07
77,12,1,8.77
78,12,1,8.55
79,12,1,8.86
80,12,1,7.29
81,12,1,7.55
82,12,1,8.09
83,12,1,8.8
84,12,1,8.3
85,12,1,7.36
86,12,1,7.83
87,12,1,6.79
88,12,1,9.24
89,12,1,7.71
90,12,1,8.8
91,12,1,8.0
92,12,1,7.46
93,12,1,7.33
94,12,1,7.75
95,12,1,7.27
96,12,1,9.16
97,12,1,7.5
98,12,1,7.36
99,12,1,7.76
0,13,1,8.19
1,13,1,8.25
2,13,1,7.59
3,13,1,9.07
4,13,1,8.38
5,13,1,8.41
6,13,1,10.23
7,13,1,8.22
8,13,1,8.26
9,13,1,6.09
10,13,1,9.43
11,13,1,8.81
12,13,1,7.49
13,13,1,9.55
14,13,1,7.53
15,13,1,7.85
16,13,1,8.01
17,13,1,9.44
18,13,1,8.08
19,13,1,7.93
20,13,1,8.23
21,13,1,9.74
22,13,1,7.47
23,13,1,9.72
24,13,1,7.41
25,13,1,8.27
26,13,1,9.12
27,13,1,8.29
28,13,1,6.59
29,13,1,8.85
30,13,1,9.61
31,13,1,7.24
32,13,1,8.14
33,13,1,8.43
34,13,1,7.58
35,13,1,8.88
36,13,1,9.97
37,13,1,8.99
38,13,1,7.97
39,13,1,7.74
40,13,1,5.56
41,13,1,8.96
42,13,1,7.74
43,13,1,8.09
44,13,1,7.11
45,13,1,7.39
46,13,1,8.05
47,13,1,6.31
48,13,1,6.84
49,13,1,7.92
50,13,1,8.0
51,13,1,8.01
52,13,1,8.01
53,13,1,7.1
54,13,1,8.15
55,13,1,7.84
56,13,1,9.46
57,13,1,7.6
58,13,1,7.59
59,13,1,7.26
60,13,1,9.89
61,13,1,8.13
62,13,1,8.0
63,13,1,9.34
64,13,1,8.41
65,13,1,9.11
66,13,1,6.29
67,13,1,8.47
68,13,1,8.48
69,13,1,6.7
70,13,1,8.62
71,13,1,8.4
72,13,1,8.36
73,13,1,7.5
74,13,1,8.18
75,13,1,8.34
76,13,1,7.33
77,13,1,6.65
78,13,1,7.95
79,13,1,7.24
80,13,1,7.05
81,13,1,7.46
82,13,1,8.3
83,13,1,7.44
84,13,1,8.01
85,13,1,7.39
86,13,1,7.81
87,13,1,9.19
88,13,1,7.51
89,13,1,8.03
90,13,1,7.73
91,13,1,7.26
92,13,1,8.12
93,13,1,8.47
94,13,1,7.44
95,13,1,7.16
